Notice: timing checks disabled with +notimingcheck at compile-time
Chronologic VCS simulator copyright 1991-2022
Contains Synopsys proprietary information.
Compiler version T-2022.06-SP2-9_Full64; Runtime version T-2022.06-SP2-9_Full64;  May  3 14:06 2026
========================================
  RiscvCore SoC Testbench
========================================

[STEP 1] Applying reset...
         PORESETn released, HRESETn=1
         HRESETn high after 0 cycles

[STEP 2] Loading IMEM...
         IMEM[0x0000] = 0x00300193
         IMEM[0x0004] = 0x00302023
         IMEM[0x0008] = 0x00100213
         IMEM[0x000c] = 0x404181b3
         IMEM[0x0010] = 0x00302023
         IMEM[0x0014] = 0xfe019ce3
         IMEM[0x0018] = 0x00000293
         IMEM[0x001c] = 0x000932b7
         IMEM[0x0020] = 0x00502023
         IMEM[0x0024] = 0x00000297
         IMEM[0x0028] = 0x00502023
         IMEM[0x002c] = 0x00a00313
         IMEM[0x0030] = 0x00602223
         IMEM[0x0034] = 0x00402283
         IMEM[0x0038] = 0x00502023
         IMEM[0x003c] = 0x0140086f
         IMEM[0x0040] = 0x00000a63
         IMEM[0x0044] = 0x00000013
         IMEM[0x0048] = 0x00000013
         IMEM[0x004c] = 0x00000013
         IMEM[0x0050] = 0x00080067
         IMEM[0x0054] = 0x00000013

[STEP 3] Setting CTRL = RUN...
         CTRL = 0x1

[STEP 4] Execution trace:
Cycle | Edge | PC             | Instruction    | DMEM[0]        | DMEM[4]        | stall
---------------------------------------------------------------------------
    0 | ^ | PC=0x00000014 | INSTR=0xfe019ce3 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    0 | v | PC=0x00000018 | INSTR=0x00000293 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    1 | ^ | PC=0x00000018 | INSTR=0x00000293 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    1 | v | PC=0x0000001c | INSTR=0x000932b7 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    2 | ^ | PC=0x0000001c | INSTR=0x000932b7 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    2 | v | PC=0x00000020 | INSTR=0x00502023 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    3 | ^ | PC=0x00000020 | INSTR=0x00502023 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    3 | v | PC=0x00000024 | INSTR=0x00000297 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    4 | ^ | PC=0x00000024 | INSTR=0x00000297 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    4 | v | PC=0x00000028 | INSTR=0x00502023 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    5 | ^ | PC=0x00000028 | INSTR=0x00502023 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    5 | v | PC=0x0000002c | INSTR=0x00a00313 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    6 | ^ | PC=0x0000002c | INSTR=0x00a00313 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    6 | v | PC=0x00000030 | INSTR=0x00602223 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    7 | ^ | PC=0x00000030 | INSTR=0x00602223 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    7 | v | PC=0x00000034 | INSTR=0x00402283 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    8 | ^ | PC=0x00000034 | INSTR=0x00402283 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    8 | v | PC=0x00000038 | INSTR=0x00502023 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    9 | ^ | PC=0x00000038 | INSTR=0x00502023 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
    9 | v | PC=0x0000003c | INSTR=0x0140086f | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   10 | ^ | PC=0x0000003c | INSTR=0x0140086f | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   10 | v | PC=0x00000040 | INSTR=0x00000a63 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   11 | ^ | PC=0x00000040 | INSTR=0x00000a63 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   11 | v | PC=0x00000044 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   12 | ^ | PC=0x00000044 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   12 | v | PC=0x00000048 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   13 | ^ | PC=0x00000048 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   13 | v | PC=0x0000004c | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   14 | ^ | PC=0x0000004c | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   14 | v | PC=0x00000050 | INSTR=0x00080067 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   15 | ^ | PC=0x00000050 | INSTR=0x00080067 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   15 | v | PC=0x00000850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   16 | ^ | PC=0x00000850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   16 | v | PC=0x00001050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   17 | ^ | PC=0x00001050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   17 | v | PC=0x00001850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   18 | ^ | PC=0x00001850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   18 | v | PC=0x00002050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   19 | ^ | PC=0x00002050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   19 | v | PC=0x00002850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   20 | ^ | PC=0x00002850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   20 | v | PC=0x00003050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   21 | ^ | PC=0x00003050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   21 | v | PC=0x00003850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   22 | ^ | PC=0x00003850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   22 | v | PC=0x00004050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   23 | ^ | PC=0x00004050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   23 | v | PC=0x00004850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   24 | ^ | PC=0x00004850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   24 | v | PC=0x00005050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   25 | ^ | PC=0x00005050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   25 | v | PC=0x00005850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   26 | ^ | PC=0x00005850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   26 | v | PC=0x00006050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   27 | ^ | PC=0x00006050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   27 | v | PC=0x00006850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   28 | ^ | PC=0x00006850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   28 | v | PC=0x00007050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   29 | ^ | PC=0x00007050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   29 | v | PC=0x00007850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   30 | ^ | PC=0x00007850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   30 | v | PC=0x00008050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   31 | ^ | PC=0x00008050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   31 | v | PC=0x00008850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   32 | ^ | PC=0x00008850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   32 | v | PC=0x00009050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   33 | ^ | PC=0x00009050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   33 | v | PC=0x00009850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   34 | ^ | PC=0x00009850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   34 | v | PC=0x0000a050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   35 | ^ | PC=0x0000a050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   35 | v | PC=0x0000a850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   36 | ^ | PC=0x0000a850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   36 | v | PC=0x0000b050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
   37 | ^ | PC=0x0000b050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
